C0-III	C1-III	C2-II
TRINITY_DN10785_c2_g1_i1	TRINITY_DN10_c2_g1_i2	TRINITY_DN10868_c1_g1_i4
TRINITY_DN10787_c0_g1_i3	TRINITY_DN11004_c0_g1_i4	TRINITY_DN1086_c0_g1_i4
TRINITY_DN1078_c1_g1_i6	TRINITY_DN11004_c0_g1_i8	TRINITY_DN1086_c0_g1_i5
TRINITY_DN10795_c0_g2_i1	TRINITY_DN110050_c0_g1_i2	TRINITY_DN1086_c0_g1_i6
TRINITY_DN1079_c0_g2_i1	TRINITY_DN11011_c0_g1_i1	TRINITY_DN1087_c1_g1_i3
TRINITY_DN107_c0_g2_i3	TRINITY_DN11022_c0_g1_i3	TRINITY_DN108805_c0_g1_i3
TRINITY_DN10803_c0_g1_i2	TRINITY_DN11022_c0_g1_i4	TRINITY_DN10886_c0_g1_i4
TRINITY_DN1080_c0_g1_i17	TRINITY_DN11023_c0_g1_i3	TRINITY_DN10889_c0_g2_i4
TRINITY_DN108205_c0_g1_i1	TRINITY_DN110421_c0_g1_i1	TRINITY_DN1088_c0_g2_i2
TRINITY_DN1082_c0_g2_i1	TRINITY_DN11048_c0_g1_i20	TRINITY_DN10890_c0_g1_i11
TRINITY_DN1083_c0_g5_i1	TRINITY_DN11048_c0_g1_i40	TRINITY_DN10890_c0_g1_i13
TRINITY_DN10843_c0_g1_i3	TRINITY_DN11051_c0_g1_i1	TRINITY_DN10890_c0_g1_i3
TRINITY_DN10843_c0_g1_i6	TRINITY_DN110573_c0_g1_i1	TRINITY_DN10890_c0_g1_i5
TRINITY_DN1084_c1_g2_i2	TRINITY_DN11057_c0_g1_i4	TRINITY_DN10890_c0_g1_i7
TRINITY_DN10854_c0_g1_i8	TRINITY_DN11061_c0_g2_i1	TRINITY_DN10893_c0_g3_i1
TRINITY_DN108588_c0_g2_i1	TRINITY_DN11064_c0_g1_i7	TRINITY_DN10895_c0_g3_i2
