C0-IV (42634 genes)	C1-IV (41276 genes)
TRINITY_DN6387_c1_g2_i1	TRINITY_DN67901_c0_g4_i1
TRINITY_DN6387_c2_g1_i1	TRINITY_DN6790_c0_g1_i2
TRINITY_DN6388_c0_g2_i1	TRINITY_DN67911_c0_g1_i1
TRINITY_DN6388_c1_g1_i1	TRINITY_DN67914_c0_g1_i1
TRINITY_DN63899_c1_g1_i1	TRINITY_DN6791_c0_g1_i5
TRINITY_DN6389_c0_g1_i2	TRINITY_DN67920_c0_g1_i10
TRINITY_DN638_c0_g1_i2	TRINITY_DN67931_c0_g1_i1
TRINITY_DN638_c0_g4_i1	TRINITY_DN6796_c0_g1_i5
TRINITY_DN638_c1_g1_i8	TRINITY_DN6796_c0_g1_i8
TRINITY_DN638_c2_g3_i1	TRINITY_DN6796_c0_g7_i1
TRINITY_DN63914_c0_g2_i2	TRINITY_DN67990_c2_g2_i1
TRINITY_DN63927_c0_g2_i1	TRINITY_DN679_c0_g1_i1
TRINITY_DN63931_c0_g1_i1	TRINITY_DN679_c0_g1_i4
TRINITY_DN63934_c0_g1_i1	TRINITY_DN679_c0_g1_i7
TRINITY_DN63937_c0_g1_i1	TRINITY_DN679_c0_g1_i8
TRINITY_DN63941_c0_g1_i2	TRINITY_DN679_c0_g2_i1
TRINITY_DN63941_c0_g1_i4	TRINITY_DN679_c0_g2_i11
TRINITY_DN63947_c1_g1_i1	TRINITY_DN679_c0_g2_i8
TRINITY_DN6395_c0_g1_i7	TRINITY_DN67_c0_g1_i1
TRINITY_DN63964_c0_g1_i6	TRINITY_DN67_c2_g2_i12
TRINITY_DN63964_c0_g2_i1	TRINITY_DN67_c2_g2_i13
TRINITY_DN6396_c3_g2_i1	TRINITY_DN67_c2_g2_i16
TRINITY_DN63976_c0_g2_i1	TRINITY_DN67_c2_g2_i4
TRINITY_DN6397_c0_g1_i1	TRINITY_DN68007_c0_g1_i2
TRINITY_DN63980_c0_g2_i2	TRINITY_DN6801_c1_g1_i6
TRINITY_DN63984_c0_g1_i1	TRINITY_DN6803_c0_g1_i1
TRINITY_DN6398_c0_g1_i1	TRINITY_DN6804_c0_g2_i1
TRINITY_DN6398_c0_g2_i4	TRINITY_DN6804_c0_g3_i1
TRINITY_DN6398_c0_g2_i5	TRINITY_DN68055_c0_g2_i1
TRINITY_DN6398_c0_g2_i8	TRINITY_DN68059_c0_g2_i2
TRINITY_DN6398_c1_g1_i1	TRINITY_DN68059_c0_g2_i4
TRINITY_DN6399_c0_g1_i6	TRINITY_DN6805_c0_g1_i1
TRINITY_DN639_c0_g2_i2	TRINITY_DN6805_c0_g1_i12
TRINITY_DN639_c0_g3_i2	TRINITY_DN6805_c0_g1_i14
TRINITY_DN63_c0_g2_i1	TRINITY_DN6805_c0_g1_i8
TRINITY_DN63_c0_g3_i2	TRINITY_DN6806_c0_g1_i2
TRINITY_DN64000_c1_g1_i1	TRINITY_DN6806_c1_g1_i1
TRINITY_DN64008_c0_g3_i3	TRINITY_DN68084_c0_g1_i1
TRINITY_DN6401_c0_g1_i1	TRINITY_DN6809_c0_g3_i2
TRINITY_DN64025_c2_g1_i2	TRINITY_DN6809_c0_g3_i3
TRINITY_DN6402_c0_g1_i2	TRINITY_DN6809_c0_g3_i6
TRINITY_DN6402_c0_g2_i1	TRINITY_DN680_c0_g4_i1
TRINITY_DN6402_c2_g1_i1	TRINITY_DN6810_c0_g3_i1
TRINITY_DN64032_c0_g1_i1	TRINITY_DN6810_c0_g3_i2
TRINITY_DN6403_c0_g1_i4	TRINITY_DN6810_c4_g1_i1
TRINITY_DN6403_c1_g1_i2	TRINITY_DN68114_c0_g2_i1
TRINITY_DN6403_c2_g1_i1	TRINITY_DN6811_c0_g1_i7
TRINITY_DN64040_c0_g1_i1	TRINITY_DN6813_c0_g1_i2
TRINITY_DN6404_c0_g1_i1	TRINITY_DN6813_c0_g1_i4
TRINITY_DN6404_c0_g1_i3	TRINITY_DN6813_c0_g1_i5
TRINITY_DN6404_c0_g1_i5	TRINITY_DN6813_c0_g1_i6
TRINITY_DN64057_c0_g1_i8	TRINITY_DN6813_c0_g2_i1
TRINITY_DN64068_c0_g1_i1	TRINITY_DN68147_c0_g2_i1
TRINITY_DN6406_c0_g1_i1	TRINITY_DN6814_c2_g2_i1
TRINITY_DN6406_c0_g2_i9	TRINITY_DN6815_c1_g1_i10
TRINITY_DN64071_c0_g1_i2	TRINITY_DN6816_c0_g1_i1
TRINITY_DN64071_c0_g2_i1	TRINITY_DN6816_c0_g2_i2
TRINITY_DN64071_c0_g2_i3	TRINITY_DN68175_c1_g1_i2
TRINITY_DN64081_c0_g1_i1	TRINITY_DN68178_c0_g1_i2
TRINITY_DN64082_c1_g1_i1	TRINITY_DN68178_c0_g1_i4
TRINITY_DN6408_c0_g2_i1	TRINITY_DN68179_c0_g2_i1
TRINITY_DN6409_c0_g1_i1	TRINITY_DN6817_c0_g1_i1
TRINITY_DN6409_c0_g1_i4	TRINITY_DN6817_c0_g1_i3
TRINITY_DN6409_c0_g3_i1	TRINITY_DN6817_c0_g1_i4
TRINITY_DN640_c0_g1_i11	TRINITY_DN68183_c0_g1_i1
TRINITY_DN640_c0_g1_i2	TRINITY_DN68194_c0_g1_i1
TRINITY_DN640_c0_g1_i7	TRINITY_DN68197_c0_g1_i1
TRINITY_DN64103_c0_g1_i1	TRINITY_DN6819_c0_g1_i4
TRINITY_DN64110_c2_g1_i1	TRINITY_DN6819_c0_g1_i9
TRINITY_DN6411_c0_g1_i2	TRINITY_DN681_c0_g1_i11
TRINITY_DN6411_c0_g1_i3	TRINITY_DN681_c0_g1_i6
TRINITY_DN64121_c0_g1_i1	TRINITY_DN681_c0_g1_i8
TRINITY_DN64124_c0_g1_i2	TRINITY_DN681_c2_g1_i1
TRINITY_DN6414_c0_g2_i1	TRINITY_DN681_c7_g1_i4
TRINITY_DN6414_c0_g2_i2	TRINITY_DN68202_c0_g4_i2
TRINITY_DN64155_c0_g1_i2	TRINITY_DN68202_c0_g6_i1
TRINITY_DN64155_c0_g2_i4	TRINITY_DN68211_c3_g1_i1
TRINITY_DN64157_c0_g1_i2	TRINITY_DN6821_c0_g1_i6
TRINITY_DN6415_c0_g1_i1	TRINITY_DN6822_c0_g1_i1
TRINITY_DN6415_c0_g2_i8	TRINITY_DN6823_c0_g1_i3
TRINITY_DN6415_c0_g4_i1	TRINITY_DN68247_c2_g1_i1
TRINITY_DN6415_c0_g5_i1	TRINITY_DN6824_c0_g2_i3
TRINITY_DN64176_c0_g1_i3	TRINITY_DN68251_c0_g1_i9
TRINITY_DN6417_c0_g1_i4	TRINITY_DN68251_c4_g1_i1
TRINITY_DN6418_c0_g1_i6	TRINITY_DN6825_c0_g1_i12
TRINITY_DN6418_c0_g1_i7	TRINITY_DN6825_c0_g1_i2
TRINITY_DN6418_c0_g1_i8	TRINITY_DN6825_c0_g1_i7
TRINITY_DN6419_c0_g1_i3	TRINITY_DN6825_c1_g1_i2
TRINITY_DN641_c0_g1_i4	TRINITY_DN6825_c1_g2_i2
TRINITY_DN641_c0_g1_i8	TRINITY_DN68260_c1_g1_i1
TRINITY_DN64206_c0_g3_i1	TRINITY_DN6826_c0_g1_i3
TRINITY_DN64209_c0_g3_i1	TRINITY_DN6826_c0_g1_i5
TRINITY_DN6421_c0_g1_i2	TRINITY_DN6826_c0_g1_i8
TRINITY_DN64226_c0_g3_i1	TRINITY_DN68277_c2_g1_i2
TRINITY_DN64226_c0_g3_i4	TRINITY_DN6827_c0_g2_i4
TRINITY_DN64230_c0_g2_i1	TRINITY_DN6827_c0_g2_i7
TRINITY_DN64232_c0_g1_i1	TRINITY_DN6828_c0_g1_i4
TRINITY_DN6423_c0_g1_i7	TRINITY_DN6828_c0_g1_i5
TRINITY_DN6423_c0_g2_i1	TRINITY_DN68292_c0_g1_i1
TRINITY_DN64249_c0_g1_i1	TRINITY_DN6829_c0_g4_i1
TRINITY_DN6424_c0_g1_i1	TRINITY_DN6829_c3_g1_i1
TRINITY_DN6424_c0_g1_i2	TRINITY_DN682_c0_g1_i1
TRINITY_DN6424_c0_g1_i4	TRINITY_DN682_c0_g5_i1
TRINITY_DN6424_c0_g2_i1	TRINITY_DN682_c1_g1_i1
TRINITY_DN6424_c0_g3_i1	TRINITY_DN682_c1_g1_i8
TRINITY_DN6425_c0_g1_i12	TRINITY_DN68307_c0_g1_i4
TRINITY_DN6425_c0_g1_i3	TRINITY_DN68309_c0_g1_i3
TRINITY_DN6425_c2_g2_i1	TRINITY_DN6830_c0_g2_i3
TRINITY_DN64274_c0_g1_i1	TRINITY_DN68311_c0_g1_i3
TRINITY_DN6427_c0_g1_i3	TRINITY_DN68311_c0_g3_i1
TRINITY_DN64282_c0_g1_i1	TRINITY_DN6831_c0_g1_i10
TRINITY_DN64291_c0_g2_i2	TRINITY_DN6831_c0_g1_i11
TRINITY_DN64291_c0_g3_i1	TRINITY_DN6831_c0_g1_i7
TRINITY_DN6429_c0_g2_i1	TRINITY_DN6831_c1_g1_i1
TRINITY_DN6430_c0_g2_i1	TRINITY_DN68324_c0_g1_i1
TRINITY_DN6430_c1_g1_i1	TRINITY_DN68329_c0_g1_i1
TRINITY_DN6430_c2_g1_i1	TRINITY_DN6832_c0_g1_i2
TRINITY_DN64310_c0_g2_i1	TRINITY_DN6832_c0_g1_i6
TRINITY_DN64310_c0_g2_i2	TRINITY_DN6832_c0_g1_i7
TRINITY_DN6431_c0_g1_i2	TRINITY_DN6833_c0_g2_i3
TRINITY_DN6431_c0_g1_i4	TRINITY_DN6833_c0_g2_i6
TRINITY_DN6431_c1_g1_i1	TRINITY_DN6834_c0_g1_i7
TRINITY_DN64326_c0_g1_i2	TRINITY_DN68360_c0_g1_i4
TRINITY_DN6432_c0_g2_i1	TRINITY_DN68360_c0_g1_i6
TRINITY_DN6432_c2_g1_i1	TRINITY_DN6836_c1_g2_i3
TRINITY_DN64348_c0_g1_i1	TRINITY_DN68376_c0_g1_i4
TRINITY_DN6434_c0_g1_i2	TRINITY_DN6837_c0_g2_i1
TRINITY_DN6434_c1_g1_i2	TRINITY_DN6838_c0_g1_i1
TRINITY_DN6434_c1_g1_i5	TRINITY_DN6838_c0_g2_i2
TRINITY_DN64353_c0_g2_i1	TRINITY_DN6838_c1_g1_i1
TRINITY_DN64353_c1_g2_i3	TRINITY_DN6838_c1_g1_i3
TRINITY_DN64366_c0_g1_i2	TRINITY_DN6839_c0_g1_i2
TRINITY_DN64377_c1_g1_i1	TRINITY_DN6839_c3_g1_i2
TRINITY_DN6437_c0_g1_i5	TRINITY_DN683_c0_g1_i5
TRINITY_DN64383_c0_g5_i1	TRINITY_DN683_c0_g1_i8
TRINITY_DN64384_c0_g1_i2	TRINITY_DN68415_c0_g1_i1
TRINITY_DN64386_c1_g1_i1	TRINITY_DN6841_c0_g1_i6
TRINITY_DN64396_c0_g1_i1	TRINITY_DN68425_c0_g1_i2
TRINITY_DN6439_c0_g1_i1	TRINITY_DN6842_c0_g2_i1
TRINITY_DN6439_c0_g2_i1	TRINITY_DN6844_c0_g1_i5
TRINITY_DN6439_c2_g1_i6	TRINITY_DN6845_c0_g1_i2
TRINITY_DN6439_c2_g1_i7	TRINITY_DN68460_c1_g1_i2
TRINITY_DN643_c0_g1_i3	TRINITY_DN6846_c0_g1_i2
TRINITY_DN643_c0_g1_i4	TRINITY_DN6847_c0_g1_i5
TRINITY_DN643_c0_g1_i5	TRINITY_DN68481_c0_g1_i6
TRINITY_DN643_c1_g1_i11	TRINITY_DN6848_c0_g2_i1
TRINITY_DN643_c1_g1_i5	TRINITY_DN6848_c2_g1_i2
TRINITY_DN643_c1_g1_i9	TRINITY_DN6848_c4_g1_i1
TRINITY_DN643_c2_g2_i1	TRINITY_DN6848_c6_g1_i1
TRINITY_DN643_c2_g4_i1	TRINITY_DN68490_c0_g1_i1
TRINITY_DN643_c2_g4_i3	TRINITY_DN68490_c0_g2_i6
TRINITY_DN643_c2_g5_i1	TRINITY_DN68493_c0_g1_i2
TRINITY_DN6440_c0_g1_i3	TRINITY_DN68495_c0_g1_i5
TRINITY_DN6440_c0_g1_i5	TRINITY_DN68495_c0_g1_i6
TRINITY_DN64411_c0_g1_i1	TRINITY_DN68495_c0_g1_i7
TRINITY_DN64411_c0_g2_i2	TRINITY_DN68495_c0_g1_i8
TRINITY_DN64416_c1_g1_i1	TRINITY_DN6849_c0_g1_i10
TRINITY_DN6441_c0_g1_i2	TRINITY_DN6849_c0_g1_i3
TRINITY_DN6441_c1_g1_i3	TRINITY_DN6849_c0_g1_i4
TRINITY_DN6441_c1_g1_i6	TRINITY_DN6849_c0_g1_i5
TRINITY_DN64424_c2_g1_i1	TRINITY_DN6849_c0_g1_i9
TRINITY_DN64426_c1_g1_i2	TRINITY_DN6849_c1_g3_i1
TRINITY_DN6442_c0_g1_i9	TRINITY_DN684_c0_g1_i3
TRINITY_DN64431_c0_g1_i1	TRINITY_DN68518_c0_g2_i1
TRINITY_DN64433_c0_g1_i1	TRINITY_DN6851_c0_g2_i1
TRINITY_DN6443_c0_g1_i1	TRINITY_DN6852_c0_g1_i2
TRINITY_DN64441_c0_g1_i1	TRINITY_DN6852_c0_g1_i6
TRINITY_DN64448_c0_g1_i1	TRINITY_DN6852_c0_g1_i7
TRINITY_DN64453_c0_g1_i1	TRINITY_DN6852_c1_g1_i10
TRINITY_DN64454_c0_g1_i1	TRINITY_DN6852_c1_g1_i11
TRINITY_DN64458_c0_g1_i1	TRINITY_DN6852_c1_g1_i9
TRINITY_DN6445_c1_g1_i2	TRINITY_DN68534_c0_g1_i1
TRINITY_DN64461_c1_g1_i4	TRINITY_DN68557_c0_g2_i3
TRINITY_DN64466_c0_g1_i1	TRINITY_DN6855_c0_g1_i3
TRINITY_DN6446_c0_g1_i3	TRINITY_DN68565_c1_g1_i1
TRINITY_DN64471_c0_g3_i1	TRINITY_DN6856_c0_g1_i11
TRINITY_DN64474_c2_g1_i2	TRINITY_DN6856_c0_g1_i3
TRINITY_DN64490_c0_g1_i4	TRINITY_DN6856_c0_g1_i5
TRINITY_DN64497_c0_g1_i1	TRINITY_DN6856_c0_g1_i6
TRINITY_DN64498_c0_g1_i1	TRINITY_DN6858_c0_g2_i1
TRINITY_DN6449_c0_g1_i5	TRINITY_DN6858_c0_g2_i4
TRINITY_DN6449_c0_g3_i1	TRINITY_DN6858_c0_g2_i6
TRINITY_DN6449_c0_g4_i1	TRINITY_DN6858_c0_g3_i1
TRINITY_DN644_c1_g1_i3	TRINITY_DN68597_c0_g1_i3
TRINITY_DN6450_c0_g1_i4	TRINITY_DN68597_c0_g1_i7
TRINITY_DN6450_c0_g1_i5	TRINITY_DN6859_c0_g1_i17
TRINITY_DN64512_c0_g1_i1	TRINITY_DN6859_c0_g1_i22
TRINITY_DN6451_c0_g1_i2	TRINITY_DN6859_c0_g3_i1
TRINITY_DN6451_c0_g2_i2	TRINITY_DN6859_c1_g1_i1
TRINITY_DN6451_c1_g1_i1	TRINITY_DN685_c0_g2_i1
TRINITY_DN64539_c0_g1_i1	TRINITY_DN6860_c0_g1_i1
TRINITY_DN64539_c0_g3_i1	TRINITY_DN6860_c0_g1_i2
TRINITY_DN6454_c0_g2_i1	TRINITY_DN6860_c0_g1_i3
TRINITY_DN6455_c0_g3_i1	TRINITY_DN68619_c0_g1_i1
TRINITY_DN64562_c0_g1_i1	TRINITY_DN68633_c0_g1_i1
TRINITY_DN64573_c0_g1_i1	TRINITY_DN68641_c1_g2_i1
TRINITY_DN64574_c0_g1_i5	TRINITY_DN68661_c0_g1_i3
TRINITY_DN64574_c0_g1_i6	TRINITY_DN68661_c2_g2_i1
TRINITY_DN64574_c0_g1_i8	TRINITY_DN68681_c0_g1_i2
TRINITY_DN6457_c0_g1_i10	TRINITY_DN68692_c0_g1_i2
TRINITY_DN6457_c0_g1_i11	TRINITY_DN686_c0_g1_i1
TRINITY_DN6457_c0_g1_i18	TRINITY_DN686_c0_g1_i15
TRINITY_DN6457_c0_g1_i19	TRINITY_DN686_c0_g1_i3
TRINITY_DN6457_c0_g1_i2	TRINITY_DN686_c0_g1_i5
TRINITY_DN64585_c0_g2_i1	TRINITY_DN686_c0_g1_i9
TRINITY_DN6458_c0_g1_i11	TRINITY_DN686_c12_g1_i1
TRINITY_DN6458_c0_g3_i1	TRINITY_DN68708_c0_g1_i1
TRINITY_DN64592_c0_g1_i5	TRINITY_DN6871_c0_g1_i6
TRINITY_DN64596_c0_g1_i1	TRINITY_DN6871_c1_g2_i1
TRINITY_DN6459_c0_g1_i13	TRINITY_DN6872_c0_g1_i5
TRINITY_DN6459_c1_g2_i1	TRINITY_DN6873_c0_g1_i2
TRINITY_DN6460_c0_g2_i3	TRINITY_DN68748_c0_g1_i1
TRINITY_DN6460_c0_g2_i4	TRINITY_DN68750_c0_g1_i3
TRINITY_DN6460_c0_g3_i2	TRINITY_DN6875_c0_g1_i1
TRINITY_DN6460_c0_g5_i2	TRINITY_DN6875_c0_g2_i4
TRINITY_DN6460_c0_g5_i3	TRINITY_DN6877_c0_g1_i13
TRINITY_DN6460_c2_g1_i2	TRINITY_DN68781_c0_g1_i1
TRINITY_DN6460_c3_g1_i2	TRINITY_DN68787_c0_g1_i1
TRINITY_DN6460_c3_g1_i3	TRINITY_DN68792_c0_g2_i1
TRINITY_DN64632_c1_g2_i1	TRINITY_DN68798_c0_g2_i3
TRINITY_DN64632_c1_g2_i3	TRINITY_DN687_c0_g1_i10
TRINITY_DN6463_c0_g5_i2	TRINITY_DN687_c0_g3_i1
TRINITY_DN6463_c0_g6_i1	TRINITY_DN687_c7_g1_i1
TRINITY_DN6464_c0_g1_i1	TRINITY_DN68801_c0_g3_i1
TRINITY_DN6464_c0_g1_i2	TRINITY_DN68815_c0_g1_i1
TRINITY_DN6464_c0_g3_i1	TRINITY_DN68815_c1_g1_i1
TRINITY_DN6464_c2_g1_i6	TRINITY_DN68817_c0_g2_i2
TRINITY_DN6465_c0_g1_i5	TRINITY_DN6881_c0_g1_i7
TRINITY_DN6465_c4_g1_i1	TRINITY_DN6882_c0_g1_i1
TRINITY_DN64663_c0_g1_i1	TRINITY_DN6882_c0_g1_i2
TRINITY_DN64666_c3_g2_i2	TRINITY_DN6882_c0_g1_i4
TRINITY_DN6466_c1_g1_i7	TRINITY_DN6882_c1_g1_i13
TRINITY_DN64676_c0_g1_i1	TRINITY_DN6882_c1_g1_i16
TRINITY_DN6467_c0_g1_i1	TRINITY_DN6882_c1_g1_i19
TRINITY_DN6467_c0_g2_i3	TRINITY_DN68835_c0_g1_i1
TRINITY_DN64685_c0_g3_i2	TRINITY_DN6883_c0_g1_i7
TRINITY_DN64692_c0_g2_i2	TRINITY_DN68841_c0_g1_i1
TRINITY_DN646_c0_g1_i20	TRINITY_DN68850_c0_g1_i1
TRINITY_DN646_c0_g1_i6	TRINITY_DN68850_c0_g1_i4
TRINITY_DN646_c0_g3_i1	TRINITY_DN68858_c0_g1_i1
TRINITY_DN6470_c0_g1_i3	TRINITY_DN68863_c0_g1_i6
TRINITY_DN64713_c0_g1_i1	TRINITY_DN68865_c0_g2_i1
TRINITY_DN6471_c0_g1_i2	TRINITY_DN6888_c0_g1_i2
TRINITY_DN6472_c0_g1_i1	TRINITY_DN688_c0_g1_i2
TRINITY_DN6472_c0_g2_i1	TRINITY_DN688_c0_g1_i4
TRINITY_DN64734_c0_g1_i1	TRINITY_DN688_c2_g1_i3
TRINITY_DN64737_c0_g1_i1	TRINITY_DN688_c2_g1_i4
TRINITY_DN64739_c0_g1_i1	TRINITY_DN68906_c0_g1_i1
TRINITY_DN6473_c1_g1_i1	TRINITY_DN68913_c0_g1_i2
TRINITY_DN64745_c0_g1_i5	TRINITY_DN68915_c0_g1_i1
TRINITY_DN6474_c0_g1_i4	TRINITY_DN68919_c0_g1_i4
TRINITY_DN6475_c0_g3_i2	TRINITY_DN6891_c0_g1_i5
TRINITY_DN64761_c0_g1_i1	TRINITY_DN6891_c0_g2_i1
TRINITY_DN64764_c4_g1_i1	TRINITY_DN6891_c0_g3_i1
TRINITY_DN6476_c0_g1_i2	TRINITY_DN68921_c0_g1_i1
TRINITY_DN6476_c1_g3_i3	TRINITY_DN68921_c0_g3_i1
TRINITY_DN64777_c0_g1_i1	TRINITY_DN68921_c0_g3_i5
TRINITY_DN64779_c1_g2_i1	TRINITY_DN68921_c0_g3_i6
TRINITY_DN64786_c0_g1_i1	TRINITY_DN68921_c0_g4_i1
TRINITY_DN64786_c0_g2_i1	TRINITY_DN6892_c0_g1_i3
TRINITY_DN64786_c0_g3_i1	TRINITY_DN6892_c0_g1_i4
TRINITY_DN64786_c0_g3_i2	TRINITY_DN68932_c0_g2_i2
TRINITY_DN64789_c0_g2_i2	TRINITY_DN6893_c0_g1_i1
TRINITY_DN6478_c1_g1_i1	TRINITY_DN6893_c0_g1_i4
TRINITY_DN6478_c1_g1_i2	TRINITY_DN68952_c0_g2_i1
TRINITY_DN6478_c2_g1_i2	TRINITY_DN6895_c0_g1_i1
TRINITY_DN6478_c2_g1_i4	TRINITY_DN6895_c1_g1_i2
TRINITY_DN64791_c0_g2_i1	TRINITY_DN68967_c0_g1_i1
TRINITY_DN6479_c0_g1_i1	TRINITY_DN6896_c0_g1_i6
TRINITY_DN647_c0_g1_i1	TRINITY_DN68979_c0_g1_i1
TRINITY_DN64807_c0_g1_i1	TRINITY_DN68993_c2_g1_i1
TRINITY_DN64807_c0_g2_i2	TRINITY_DN68996_c0_g1_i1
TRINITY_DN64807_c0_g2_i4	TRINITY_DN6899_c0_g2_i1
TRINITY_DN6480_c1_g1_i1	TRINITY_DN6899_c0_g3_i1
TRINITY_DN6480_c4_g4_i1	TRINITY_DN689_c0_g1_i3
TRINITY_DN64818_c0_g1_i1	TRINITY_DN689_c0_g2_i2
TRINITY_DN6481_c0_g1_i1	TRINITY_DN68_c0_g2_i2
TRINITY_DN6481_c1_g2_i1	TRINITY_DN68_c1_g1_i2
TRINITY_DN6481_c1_g3_i1	TRINITY_DN68_c1_g1_i3
TRINITY_DN64826_c0_g2_i1	TRINITY_DN68_c1_g1_i4
TRINITY_DN64826_c1_g1_i1	TRINITY_DN68_c1_g2_i1
TRINITY_DN6482_c0_g3_i1	TRINITY_DN69014_c0_g2_i1
TRINITY_DN64835_c0_g1_i1	TRINITY_DN6901_c0_g1_i1
TRINITY_DN6483_c0_g1_i2	TRINITY_DN6901_c0_g2_i4
TRINITY_DN64840_c2_g1_i3	TRINITY_DN69027_c0_g1_i1
TRINITY_DN64843_c0_g3_i3	TRINITY_DN6902_c0_g1_i1
TRINITY_DN64846_c1_g1_i1	TRINITY_DN6902_c0_g1_i2
TRINITY_DN6485_c0_g1_i2	TRINITY_DN69051_c0_g1_i1
TRINITY_DN64866_c0_g1_i1	TRINITY_DN6905_c0_g1_i2
TRINITY_DN6486_c0_g1_i4	TRINITY_DN69080_c0_g1_i1
TRINITY_DN6486_c0_g3_i1	TRINITY_DN6908_c0_g1_i1
TRINITY_DN64877_c0_g3_i1	TRINITY_DN6908_c0_g1_i2
TRINITY_DN6487_c0_g2_i2	TRINITY_DN6908_c0_g2_i2
TRINITY_DN6487_c0_g3_i2	TRINITY_DN6908_c1_g1_i1
TRINITY_DN6487_c1_g1_i1	TRINITY_DN69096_c0_g1_i1
TRINITY_DN64888_c0_g1_i1	TRINITY_DN690_c0_g1_i8
TRINITY_DN64889_c0_g1_i1	TRINITY_DN690_c0_g1_i9
TRINITY_DN6488_c0_g1_i1	TRINITY_DN69110_c0_g1_i1
TRINITY_DN64897_c0_g1_i2	TRINITY_DN69115_c1_g2_i5
TRINITY_DN6489_c0_g1_i7	TRINITY_DN69115_c3_g1_i1
TRINITY_DN6489_c0_g2_i1	TRINITY_DN69117_c0_g2_i5
TRINITY_DN648_c0_g1_i2	TRINITY_DN6911_c0_g1_i1
TRINITY_DN648_c0_g6_i1	TRINITY_DN6911_c0_g1_i10
TRINITY_DN648_c1_g1_i2	TRINITY_DN6911_c0_g1_i4
TRINITY_DN648_c1_g2_i5	TRINITY_DN6911_c0_g1_i5
TRINITY_DN648_c1_g3_i2	TRINITY_DN69128_c0_g1_i4
TRINITY_DN648_c2_g1_i1	TRINITY_DN69139_c0_g1_i2
TRINITY_DN64901_c0_g1_i2	TRINITY_DN6913_c0_g1_i1
TRINITY_DN64906_c0_g1_i2	TRINITY_DN6913_c0_g1_i10
TRINITY_DN64914_c0_g1_i1	TRINITY_DN6915_c0_g1_i4
TRINITY_DN64919_c0_g5_i1	TRINITY_DN69166_c0_g3_i1
TRINITY_DN6491_c1_g1_i1	TRINITY_DN69174_c0_g3_i1
TRINITY_DN6491_c1_g2_i1	TRINITY_DN6917_c0_g1_i1
TRINITY_DN6491_c1_g3_i1	TRINITY_DN6917_c0_g1_i3
TRINITY_DN64931_c0_g3_i1	TRINITY_DN6918_c2_g1_i11
TRINITY_DN64931_c1_g1_i1	TRINITY_DN6918_c2_g1_i3
TRINITY_DN64939_c0_g1_i3	TRINITY_DN6918_c2_g1_i4
TRINITY_DN6493_c0_g1_i1	TRINITY_DN6918_c2_g1_i6
TRINITY_DN6493_c0_g1_i6	TRINITY_DN6918_c2_g1_i9
TRINITY_DN64942_c1_g1_i1	TRINITY_DN69190_c0_g3_i1
TRINITY_DN6494_c0_g1_i1	TRINITY_DN69190_c0_g4_i1
TRINITY_DN64957_c0_g1_i1	TRINITY_DN69190_c0_g4_i2
TRINITY_DN64957_c0_g2_i1	TRINITY_DN69198_c0_g2_i1
TRINITY_DN6495_c0_g1_i1	TRINITY_DN6919_c0_g1_i2
TRINITY_DN6495_c0_g1_i6	TRINITY_DN6919_c0_g1_i4
TRINITY_DN6495_c0_g1_i7	TRINITY_DN691_c0_g1_i5
TRINITY_DN64960_c0_g1_i1	TRINITY_DN69203_c0_g1_i2
TRINITY_DN64965_c1_g1_i1	TRINITY_DN69203_c0_g1_i4
TRINITY_DN64972_c0_g1_i1	TRINITY_DN6920_c0_g4_i1
TRINITY_DN64973_c0_g1_i4	TRINITY_DN6921_c0_g1_i1
TRINITY_DN64974_c0_g1_i2	TRINITY_DN6921_c0_g1_i2
TRINITY_DN64977_c0_g1_i5	TRINITY_DN6921_c0_g1_i5
TRINITY_DN64977_c0_g1_i9	TRINITY_DN6922_c0_g1_i1
TRINITY_DN64985_c0_g1_i1	TRINITY_DN6922_c0_g1_i2
TRINITY_DN64986_c0_g2_i1	TRINITY_DN6922_c0_g2_i1
TRINITY_DN64986_c3_g1_i2	TRINITY_DN6922_c0_g3_i1
TRINITY_DN64988_c0_g1_i1	TRINITY_DN6922_c0_g3_i3
TRINITY_DN64991_c0_g2_i1	TRINITY_DN6922_c0_g4_i1
TRINITY_DN64994_c1_g2_i1	TRINITY_DN69234_c0_g1_i7
TRINITY_DN64994_c4_g1_i1	TRINITY_DN6923_c0_g1_i2
TRINITY_DN64994_c5_g1_i1	TRINITY_DN6924_c0_g2_i1
TRINITY_DN64994_c7_g1_i1	TRINITY_DN6924_c0_g6_i1
TRINITY_DN649_c0_g1_i1	TRINITY_DN69250_c0_g2_i5
TRINITY_DN649_c0_g1_i10	TRINITY_DN6925_c0_g1_i2
TRINITY_DN649_c0_g1_i9	TRINITY_DN6926_c0_g1_i10
TRINITY_DN649_c2_g1_i1	TRINITY_DN6926_c0_g1_i3
TRINITY_DN64_c0_g3_i1	TRINITY_DN69274_c0_g1_i1
TRINITY_DN64_c0_g3_i2	TRINITY_DN69278_c0_g1_i1
TRINITY_DN6500_c0_g4_i1	TRINITY_DN6928_c0_g1_i6
TRINITY_DN6501_c0_g1_i3	TRINITY_DN6928_c0_g1_i9
TRINITY_DN65029_c0_g1_i1	TRINITY_DN69293_c0_g1_i1
