C0-V (29697 genes)	C1-V (28578 genes)
TRINITY_DN10227_c0_g1_i7	TRINITY_DN10271_c0_g3_i1
TRINITY_DN10227_c0_g1_i9	TRINITY_DN10272_c0_g1_i1
TRINITY_DN10227_c0_g2_i1	TRINITY_DN10272_c0_g1_i3
TRINITY_DN10227_c1_g1_i5	TRINITY_DN102773_c0_g2_i2
TRINITY_DN10229_c0_g1_i1	TRINITY_DN1027_c0_g1_i10
TRINITY_DN10231_c0_g1_i1	TRINITY_DN10281_c0_g1_i2
TRINITY_DN10231_c0_g1_i2	TRINITY_DN102826_c0_g1_i3
TRINITY_DN10232_c1_g1_i2	TRINITY_DN10282_c2_g1_i1
TRINITY_DN10234_c0_g1_i1	TRINITY_DN102845_c0_g1_i1
TRINITY_DN10235_c0_g1_i3	TRINITY_DN1028_c0_g1_i3
TRINITY_DN10237_c0_g1_i1	TRINITY_DN102916_c0_g1_i2
TRINITY_DN102384_c0_g1_i2	TRINITY_DN102916_c0_g1_i3
TRINITY_DN10238_c0_g1_i5	TRINITY_DN102927_c0_g1_i1
